"Jurisdiction","Precinct","Race","Candidate","Votes"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department 14 Family Division","SCHREINERT, TAMATHA R.","125"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department 11 Family Division","SHANNON, GREG","50"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department 10","SIGURDSON, KATHLEEN A.","117"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department  6","SIMONS, LYNNE K.","121"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department  4","STEINHEIMER, CONNIE","132"
"Washoe","GER-WADS 7581","President and Vice President of the United States","TRUMP, DONALD J.","18"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department 12 Family Division","UNSWORTH, SANDRA A.","128"
"Washoe","GER-WADS 7581","District Court Judge, District 2, Department  7","WALKER, EGAN K.","124"
"Washoe","GER-WADS 7589","U.S. Representative in Congress, District 2","ACKERMAN, PATRICIA","*"
"Washoe","GER-WADS 7589","U.S. Representative in Congress, District 2","Amodei, Mark E.","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department 16 Family Division","BANALES, AMIEE","*"
"Washoe","GER-WADS 7589","President and Vice President of the United States","BIDEN, JOSEPH R.","*"
"Washoe","GER-WADS 7589","President and Vice President of the United States","BLANKENSHIP, DON","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department  8","BRESLOW, BARRY LOUIS","*"
"Washoe","GER-WADS 7589","Court of Appeals Judge, Department 3","Bulla, Bonnie","*"
"Washoe","GER-WADS 7589","Court of Appeals Judge, Department 3","BUSH, SUSAN","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department 13 Family Division","BUSHUR, AARON","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department 11 Family Division","DOLLINGER, PAIGE","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department  1","Drakulich, Kathleen M.","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department  9","Freeman, Scott N.","*"
"Washoe","GER-WADS 7589","Supreme Court Justice, Seat D","FUMO, Ozzie","*"
"Washoe","GER-WADS 7589","District Court Judge, District 2, Department  2","Grossman, Dixie","*"
"Washoe","GER-WADS 7589","State Assembly, District 32","Hansen, Alexis M.","*"
"Washoe","GER-WADS 7589","U.S. Representative in Congress, District 2","HANSEN, JANINE","*"
